Waterbody Name,Acres_Mile,Boat Launch Type,Boat Launch Owner,Amenities,Fish Species,Ice Fishing,Comments,Boat Launch Information,Waterbody Information,Contour Map of Waterbody,Special Regulations on Waterbody,County,Longitude,Latitude,Location
Hyde Lake,179,Trailer Unimproved,DEC - Private,Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Northern Pike - Walleye,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23890.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/hydlkmap.pdf,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,-75.832937356,44.24347537,"(44.24347537, -75.832937356)"
Indian Lake,4255,Trailer Improved,DEC,Marina - Boat Rental - Campsite,Brown Trout - Lake Trout - American Black Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23892.html,http://www.dec.ny.gov/outdoor/71324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/indianlkmap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.31355387,43.702749583,"(43.702749583, -74.31355387)"
Jennings Park Pond,35,Hand Launch,Municipal,,Brown Trout,,,,http://www.dec.ny.gov/outdoor/38329.html,,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.423344846,43.970151851,"(43.970151851, -74.423344846)"
Kayuta Lake,473,Trailer Unimproved,Municipal,,Smallmouth Bass - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/kaylkmap.pdf,,Oneida,-75.182548349,43.40352227,"(43.40352227, -75.182548349)"
Lake Alice,80,Hand Launch,DEC,,American Black Bass - Sunfish,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/38246.html,,,Clinton,-73.486315177,44.868875416,"(44.868875416, -73.486315177)"
Lake Bonaparte,1280,Trailer Improved,DEC,Marina - Campsite,Brown Trout - Lake Trout - Smallmouth Bass - American Black Bass - Sunfish - Black Crappie - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23889.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/lkbonamap.pdf,http://www.dec.ny.gov/outdoor/31456.html,Lewis,-75.39222755,44.150870909,"(44.150870909, -75.39222755)"
Lake Champlain,289000,Trailer Improved,DEC (9) - State Parks (3),Fishing Pier - Marina - Boat Rental - Campsite,Lake Trout - Atlantic salmon - Smallmouth Bass - American Black Bass - Yellow Perch - Black Crappie - Northern Pike - Common carp - Channel Catfish,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23859.html,,,http://www.dec.ny.gov/outdoor/31510.html,Washington/Essex/Clinton,-73.317213271,44.502107642,"(44.502107642, -73.317213271)"
Lake Clear,979,Trailer Unimproved,DEC,Boat Rental - Campsite,Atlantic salmon - American Black Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/38324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lkclrmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.251323556,44.370911938,"(44.370911938, -74.251323556)"
Lake Clear Outlet,104,Hand Launch,DEC,,American Black Bass - Black Crappie - Northern Pike,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/38324.html,,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.261628319,44.347757543,"(44.347757543, -74.261628319)"
Lake Colby,286,Hand Launch,DEC,,Brown Trout - Rainbow Trout - Atlantic salmon - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,Site includes accessible features,http://www.dec.ny.gov/outdoor/23896.html,http://www.dec.ny.gov/outdoor/71302.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lkclbymap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.152356926,44.343014366,"(44.343014366, -74.152356926)"
Lake Durant,293,Trailer Improved,DEC,Campsite,American Black Bass - Sunfish - Yellow Perch - Muskellunge,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23892.html,http://www.dec.ny.gov/outdoor/76398.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lkdrntmap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.405200214,43.842113503,"(43.842113503, -74.405200214)"
Lake Eaton,558,Trailer Unimproved,DEC,Campsite,Rainbow Trout - Lake Trout - Atlantic salmon - Smallmouth Bass - Yellow Perch,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23892.html,http://www.dec.ny.gov/outdoor/76403.html,,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.466172645,43.979995122,"(43.979995122, -74.466172645)"
Lake Flower,166,Trailer Improved,DEC,Marina - Boat Rental,American Black Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23896.html,http://www.dec.ny.gov/outdoor/38324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lkflwrmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.124420424,44.314618182,"(44.314618182, -74.124420424)"
Lake George,28451,Trailer Improved,DEC (4),Marina - Boat Rental - Campsite,Lake Trout - Atlantic salmon - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike - Chain Pickerel,Ice Fishing Permitted,LGPC permit required for boats = 18 ft and motorized boats = 10 hp (518-668-9347),http://www.dec.ny.gov/outdoor/23897.html,http://www.dec.ny.gov/outdoor/38365.html,http://www.dec.ny.gov/outdoor/24317.html,http://www.dec.ny.gov/outdoor/31501.html,Essex/Warren,-73.565858574,43.606397639,"(43.606397639, -73.565858574)"
Lake Kushaqua,378,Trailer Improved,DEC,,Lake Trout - Smallmouth Bass - American Black Bass - Northern Pike - Walleye,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/lkkshqamap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.114396643,44.517653758,"(44.517653758, -74.114396643)"
Lake Lila,1490,None,None,,Lake Trout - Smallmouth Bass - Yellow Perch,,No motors - hike in,,http://www.dec.ny.gov/outdoor/76408.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lklilamap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.754156737,44.002608538,"(44.002608538, -74.754156737)"
Lake of the Isles,1300,Trailer Improved,OPRHP (State Parks),Marina - Boat Rental,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23890.html,,,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,-75.989521868,44.32782832,"(44.32782832, -75.989521868)"
Lake of the Woods,166,Trailer Unimproved,DEC,Marina - Boat Rental - Campsite,Lake Trout - Atlantic salmon - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie,Ice Fishing Permitted,10 horsepower limit,http://www.dec.ny.gov/outdoor/23890.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/lkwoodmap.pdf,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,-75.727886504,44.31620281,"(44.31620281, -75.727886504)"
Lake Ozonia,550,Hand Launch,DEC,,Rainbow Trout - Atlantic salmon - Smallmouth Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,10 horsepower limit,http://www.dec.ny.gov/outdoor/23866.html,,,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.610039459,44.59478564,"(44.59478564, -74.610039459)"
Lake Placid,2173,Trailer Improved,DEC,Marina - Boat Rental - Campsite,Rainbow Trout - Lake Trout - Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike,,Site includes accessible features,http://www.dec.ny.gov/outdoor/23897.html,http://www.dec.ny.gov/outdoor/38321.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lakeplacidmap.pdf,http://www.dec.ny.gov/outdoor/31443.html,Essex,-73.974218326,44.319668088,"(44.319668088, -73.974218326)"
Lake Pleasant,1475,Hand Launch,Municipal,Marina - Boat Rental - Campsite,Brown Trout - Rainbow Trout - Smallmouth Bass - Sunfish - Chain Pickerel - Walleye,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/76413.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lkpsntmap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.380196788,43.47945765,"(43.47945765, -74.380196788)"
Lakeview Pond,184,Trailer Unimproved,DEC,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Common carp,Ice Fishing Permitted,10 horsepower limit,http://www.dec.ny.gov/outdoor/23890.html,,,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,-76.207103268,43.749236398,"(43.749236398, -76.207103268)"
Limekiln Lake,457,Hand Launch,DEC,Boat Rental - Campsite,Brook Trout,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23892.html,http://www.dec.ny.gov/outdoor/38329.html,http://www.dec.ny.gov/docs/fish_marine_pdf/limlkmap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.799222268,43.712681209,"(43.712681209, -74.799222268)"
Lincoln Pond,572,Trailer Unimproved,DEC,Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Muskellunge,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23897.html,http://www.dec.ny.gov/outdoor/38321.html,,,Essex,-73.576673813,44.139832312,"(44.139832312, -73.576673813)"
Little Long Pond,82,None,None,,Rainbow Trout,,,,http://www.dec.ny.gov/outdoor/38324.html,,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.294024398,44.388241573,"(44.388241573, -74.294024398)"
Little Trout Pond,51,None,None,,Brook Trout,,Hike in - Baitfish prohibited,,,,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.65113561,44.095760503,"(44.095760503, -74.65113561)"
Long Lake,4077,Trailer Improved,DEC,Marina - Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,Site includes accessible features,http://www.dec.ny.gov/outdoor/23892.html,http://www.dec.ny.gov/outdoor/38329.html,http://www.dec.ny.gov/docs/fish_marine_pdf/longlkmap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.38358989,44.016385354,"(44.016385354, -74.38358989)"
Long Pond,32,None,None,,Brook Trout,,Hike in - Baitfish prohibited,,http://www.dec.ny.gov/outdoor/38365.html,,,Warren,-73.649570444,43.680217012,"(43.680217012, -73.649570444)"
Loon Lake,600,Trailer Improved - Hand Launch,Private - Department of Transportation,Marina - Boat Rental,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Chain Pickerel - Walleye,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/loonlkmap.pdf,,Warren,-73.856696524,43.677296782,"(43.677296782, -73.856696524)"
Lower Chateaugay Lake,545,Trailer Improved,DEC,Marina - Boat Rental,Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/71830.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lrchatlkmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.01863469,44.81897515,"(44.81897515, -74.01863469)"
Lower Saranac Lake,2108,Trailer Improved,DEC,Boat Rental - Campsite,Smallmouth Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23896.html,http://www.dec.ny.gov/outdoor/38324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lrsaralkmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.186838961,44.306177268,"(44.306177268, -74.186838961)"
Meacham Lake,1185,Trailer Unimproved,DEC,Campsite,Brown Trout - Smallmouth Bass - Yellow Perch - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23896.html,http://www.dec.ny.gov/outdoor/71313.html,http://www.dec.ny.gov/docs/fish_marine_pdf/mchmlkmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.286120905,44.56459525,"(44.56459525, -74.286120905)"
Middle Lake,31,None,None,,Brown Trout,,,,,,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.208470645,43.329334485,"(43.329334485, -74.208470645)"
Middle Saranac Lake,1393,Hand Launch,DEC,Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike,,Site includes accessible features,http://www.dec.ny.gov/outdoor/23896.html,http://www.dec.ny.gov/outdoor/38324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/midsaralkmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.265653354,44.258391073,"(44.258391073, -74.265653354)"
Millsite Lake,469,Trailer Unimproved,DEC,,Lake Trout - Atlantic salmon - American Black Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,10 horsepower limit,http://www.dec.ny.gov/outdoor/23890.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/milllkmap.pdf,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,-75.775983977,44.290788784,"(44.290788784, -75.775983977)"
Mirror Lake,119,Hand Launch,DEC,,Rainbow Trout - Lake Trout - Smallmouth Bass - Yellow Perch,,,http://www.dec.ny.gov/outdoor/23897.html,http://www.dec.ny.gov/outdoor/38321.html,http://www.dec.ny.gov/docs/fish_marine_pdf/mrrlkmap.pdf,http://www.dec.ny.gov/outdoor/31443.html,Essex,-73.981456227,44.290930464,"(44.290930464, -73.981456227)"
Moon Lake,218,Hand Launch,DEC,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Northern Pike,Ice Fishing Permitted,10 horsepower limit,http://www.dec.ny.gov/outdoor/23890.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/moonlkmap.pdf,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,-75.739153748,44.253614565,"(44.253614565, -75.739153748)"
Moose Pond,158,Hand Launch,DEC,,Rainbow Trout - Atlantic salmon - Coho Salmon - Smallmouth Bass - Sunfish,,,http://www.dec.ny.gov/outdoor/23897.html,http://www.dec.ny.gov/outdoor/38321.html,http://www.dec.ny.gov/docs/fish_marine_pdf/moopd2map.pdf,http://www.dec.ny.gov/outdoor/31443.html,Essex,-74.062109855,44.371329181,"(44.371329181, -74.062109855)"
Moreau Lake,122,Trailer Improved,OPRHP (State Parks),Boat Rental - Campsite,Rainbow Trout - American Black Bass,,,http://www.dec.ny.gov/outdoor/23872.html,http://www.dec.ny.gov/outdoor/76428.html,http://www.dec.ny.gov/docs/fish_marine_pdf/morlkmap.pdf,,Saratoga,-73.712112078,43.230634424,"(43.230634424, -73.712112078)"
Moshier Reservoir,281,Trailer Unimproved,DEC,,American Black Bass - Sunfish - Yellow Perch - Muskellunge,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23891.html,,,,Herkimer,-75.081220748,43.893294802,"(43.893294802, -75.081220748)"
Mountain View Lake,216,Trailer Unimproved,Private,,American Black Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/38324.html,,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.126809995,44.698837835,"(44.698837835, -74.126809995)"
Munson Pond,19,None,None,,Brook Trout - Brown Trout,,,,http://www.dec.ny.gov/outdoor/38321.html,,,Essex,-73.647341314,44.024798028,"(44.024798028, -73.647341314)"
New Lake,23,None,None,,Brown Trout,,,,http://www.dec.ny.gov/outdoor/38365.html,,,Warren,-74.145344763,43.423524837,"(43.423524837, -74.145344763)"
North Lake,441,Trailer Unimproved,DEC,Campsite,Brook Trout - Sunfish - Yellow Perch - Muskellunge,Ice Fishing Permitted,,,,,,Herkimer,-74.92783879,43.537472137,"(43.537472137, -74.92783879)"
Northville Pond,58,Hand Launch,Municipal,,Rainbow Trout,,,,http://www.dec.ny.gov/outdoor/38327.html,,,Fulton,-74.167161028,43.221400126,"(43.221400126, -74.167161028)"
Norwood Reservoir,441,Trailer Unimproved,Private,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Walleye,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/norresmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-75.015938007,44.730639628,"(44.730639628, -75.015938007)"
Oliver Pond,42,Hand Launch,DEC,,Brown Trout,,,,http://www.dec.ny.gov/outdoor/38321.html,,,Essex,-73.905655759,43.82832638,"(43.82832638, -73.905655759)"
Oneida Lake,51000,Trailer Improved - Hand Launch,DEC (3) - Various,Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Walleye - Common carp - Channel Catfish,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23877.html,http://www.dec.ny.gov/outdoor/41034.html,http://www.dec.ny.gov/outdoor/24297.html,http://www.dec.ny.gov/outdoor/31476.html,Oswego/Oneida,-75.90297342,43.20270213,"(43.20270213, -75.90297342)"
Oseetah Lake,826,Trailer Improved,DEC,Boat Rental - Campsite,American Black Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/38324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/oseelkmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.132972217,44.281705067,"(44.281705067, -74.132972217)"
Owen Pond,21,None,None,,Brown Trout,,,,http://www.dec.ny.gov/outdoor/38321.html,,,Essex,-73.901228475,44.321788289,"(44.321788289, -73.901228475)"
Oxbow Lake,300,Trailer Unimproved,Private,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/38329.html,,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.481443424,43.442438402,"(43.442438402, -74.481443424)"
Palmer Pond,29,Hand Launch,DEC,,Rainbow Trout,,,,http://www.dec.ny.gov/outdoor/38321.html,,http://www.dec.ny.gov/outdoor/31501.html,Warren,-73.86992686,43.646414866,"(43.646414866, -73.86992686)"
Paradox Lake,896,Trailer Improved,DEC,Campsite,Rainbow Trout - Lake Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23897.html,http://www.dec.ny.gov/outdoor/38321.html,http://www.dec.ny.gov/docs/fish_marine_pdf/pdoxlkmap.pdf,http://www.dec.ny.gov/outdoor/31443.html,Essex,-73.702922065,43.884308765,"(43.884308765, -73.702922065)"
Payne Lake,154,Trailer Improved,DEC,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Northern Pike - Walleye,Ice Fishing Permitted,10 horsepower limit,http://www.dec.ny.gov/outdoor/23890.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/paylkmap.pdf,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,-75.646056846,44.282182543,"(44.282182543, -75.646056846)"
Peck Lake,1423,Trailer Unimproved,Private,Marina - Boat Rental,Smallmouth Bass - American Black Bass - Northern Pike - Chain Pickerel,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/38327.html,,,Fulton,-74.411454269,43.114458499,"(43.114458499, -74.411454269)"
Perch Lake,547,None,None,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Chain Pickerel,Ice Fishing Permitted,Ice fishing only,,,,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,-75.899709928,44.119044726,"(44.119044726, -75.899709928)"
Pharaoh Lake,441,None,None,,Brook Trout - Lake Trout,,Hike in - Baitfish prohibited,,http://www.dec.ny.gov/outdoor/38321.html,http://www.dec.ny.gov/docs/fish_marine_pdf/pharlkmap.pdf,,Essex,-73.634058621,43.806098737,"(43.806098737, -73.634058621)"
Piercefield Flow,375,Trailer Unimproved,Private,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Walleye,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/pieflomap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.546831054,44.228997642,"(44.228997642, -74.546831054)"
Pine Pond,16,None,None,,Brook Trout,,Hike in - Baitfish prohibited,,,,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.66454061,44.253080282,"(44.253080282, -74.66454061)"
Piseco Lake,2873,Trailer Improved,DEC (3),Boat Rental - Campsite,Lake Trout - Atlantic salmon - Smallmouth Bass,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23892.html,http://www.dec.ny.gov/outdoor/38329.html,http://www.dec.ny.gov/docs/fish_marine_pdf/pisclkmap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.541642888,43.414255777,"(43.414255777, -74.541642888)"
Polliwog Pond,196,Trailer Unimproved,DEC,,Brown Trout,,Baitfish prohibited,,http://www.dec.ny.gov/outdoor/38324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/pollipdmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.35422385,44.334171224,"(44.334171224, -74.35422385)"
Putnam Pond,185,Trailer Improved,DEC,Campsite - Boat Rental,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Muskellunge - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23897.html,http://www.dec.ny.gov/outdoor/38321.html,http://www.dec.ny.gov/docs/fish_marine_pdf/ptnmpdmap.pdf,,Essex,-73.579998519,43.836469902,"(43.836469902, -73.579998519)"
Rainbow Falls,739,Trailer Unimproved,Private,Campsite,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Chain Pickerel - Walleye,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/rainresmap.pdf,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,-74.790278605,44.508787342,"(44.508787342, -74.790278605)"
Raquette Lake,4927,Trailer Improved,Minicipal,Marina - Boat Rental - Campsite,Brook Trout - Lake Trout - Smallmouth Bass - American Black Bass - Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23892.html,http://www.dec.ny.gov/outdoor/38329.html,http://www.dec.ny.gov/docs/fish_marine_pdf/raqlkmap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.641072148,43.836559187,"(43.836559187, -74.641072148)"
Rat Pond,28,None,None,,Brown Trout,,Baitfish prohibited,,http://www.dec.ny.gov/outdoor/38324.html,,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.312873336,44.354641583,"(44.354641583, -74.312873336)"
Red Lake,366,Trailer Unimproved,DEC,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Chain Pickerel - Walleye,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23890.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/redlakemap.pdf,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,-75.739176423,44.268294703,"(44.268294703, -75.739176423)"
Round Lake,321,Trailer Unimproved,Municipal,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Common carp,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/76433.html,http://www.dec.ny.gov/docs/fish_marine_pdf/rndlkmap.pdf,,Saratoga,-73.782913119,42.933993566,"(42.933993566, -73.782913119)"
Round Pond,218,None,None,,Smallmouth Bass,,,,http://www.dec.ny.gov/outdoor/38329.html,,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.28540069,44.05873225,"(44.05873225, -74.28540069)"
Sacandaga Lake,1589,Trailer Unimproved,DEC,Boat Rental - Campsite,Brown Trout - Rainbow Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel - Walleye,Ice Fishing Permitted,Site includes accessible features,,http://www.dec.ny.gov/outdoor/38329.html,http://www.dec.ny.gov/docs/fish_marine_pdf/scdglkmap.pdf,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.422018615,43.484554324,"(43.484554324, -74.422018615)"
Saint Regis Lake Chain,1266,Trailer Unimproved,Municipal - Provate,,Lake Trout - Atlantic salmon - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/38324.html,,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.256387073,44.427614576,"(44.427614576, -74.256387073)"
Saint Regis Pond,383,None,None,,Brook Trout,,Baitfish prohibited,,http://www.dec.ny.gov/outdoor/38324.html,http://www.dec.ny.gov/docs/fish_marine_pdf/stregpdmap.pdf,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.314760044,44.381489713,"(44.381489713, -74.314760044)"
Santa Clara Flow,248,Trailer Improved,DEC,,Northern Pike,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23896.html,http://www.dec.ny.gov/outdoor/38324.html,,http://www.dec.ny.gov/outdoor/31444.html,Franklin,-74.450372847,44.619843556,"(44.619843556, -74.450372847)"
Saratoga Lake,3764,Trailer Improved,OPRHP (State Parks),Marina - Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Northern Pike - Chain Pickerel - Walleye - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23872.html,http://www.dec.ny.gov/outdoor/76438.html,http://www.dec.ny.gov/docs/fish_marine_pdf/srtglkmap.pdf,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,-73.737975869,43.021748166,"(43.021748166, -73.737975869)"
Schroon Lake,4107,Trailer Improved,DEC,Fishing Pier - Marina - Boat Rental - Campsite,Lake Trout - Atlantic salmon - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike,Ice Fishing Permitted,Site includes accessible features,http://www.dec.ny.gov/outdoor/23860.html,http://www.dec.ny.gov/outdoor/38365.html,http://www.dec.ny.gov/docs/fish_marine_pdf/schrnlkmap.pdf,http://www.dec.ny.gov/outdoor/31501.html,Warren,-73.779256825,43.792109232,"(43.792109232, -73.779256825)"
Seventh Lake,844,Trailer Improved,DEC,Boat Rental - Campsite,Rainbow Trout - Lake Trout - Atlantic salmon - Smallmouth Bass,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23892.html,http://www.dec.ny.gov/outdoor/38329.html,,http://www.dec.ny.gov/outdoor/31451.html,Hamilton,-74.739919312,43.744671581,"(43.744671581, -74.739919312)"
Sixberry Lake,123,Trailer Unimproved,DEC - Private,Campsite,Rainbow Trout - Lake Trout - Atlantic salmon - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Walleye,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23890.html,,,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,-75.77543654,44.279762288,"(44.279762288, -75.77543654)"
Sixtown Pond,168,Hand Launch,DEC,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Walleye,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23890.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/crystallkmap.pdf,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,-76.126999679,43.828827345,"(43.828827345, -76.126999679)"
Soft Maple Reservoir,270,Hand Launch,Private,Campsite,Smallmouth Bass - Sunfish - Yellow Perch - Muskellunge - Chain Pickerel,Ice Fishing Permitted,Site includes accessible features,,,http://www.dec.ny.gov/docs/fish_marine_pdf/mapresmap.pdf,,Lewis,-75.216481182,43.9142738,"(43.9142738, -75.216481182)"
